Transaction Number,Latency (ms),Timestamp
50,138.267505000,2025-01-07 21:19:55
51,138.407812000,2025-01-07 21:19:55
52,145.006864000,2025-01-07 21:19:55
53,149.452139000,2025-01-07 21:19:55
54,184.016224000,2025-01-07 21:19:56
55,155.533730000,2025-01-07 21:19:56
56,194.626669000,2025-01-07 21:19:56
57,245.160480000,2025-01-07 21:19:56
58,160.054838000,2025-01-07 21:19:56
59,159.206195000,2025-01-07 21:19:57
60,167.484886000,2025-01-07 21:19:57
61,232.479969000,2025-01-07 21:19:57
62,148.036396000,2025-01-07 21:19:57
63,146.507215000,2025-01-07 21:19:57
64,131.374443000,2025-01-07 21:19:57
65,202.955601000,2025-01-07 21:19:58
66,135.550465000,2025-01-07 21:19:58
67,153.361973000,2025-01-07 21:19:58
68,139.170927000,2025-01-07 21:19:58
69,155.409632000,2025-01-07 21:19:58
70,165.916762000,2025-01-07 21:19:58
71,199.773674000,2025-01-07 21:19:59
72,133.356452000,2025-01-07 21:19:59
73,159.180403000,2025-01-07 21:19:59
74,127.817722000,2025-01-07 21:19:59
75,148.730114000,2025-01-07 21:19:59
76,138.151958000,2025-01-07 21:19:59
77,139.641487000,2025-01-07 21:20:00
78,143.346580000,2025-01-07 21:20:00
79,132.351038000,2025-01-07 21:20:00
80,135.077747000,2025-01-07 21:20:00
81,192.560783000,2025-01-07 21:20:00
82,132.335753000,2025-01-07 21:20:00
83,116.995001000,2025-01-07 21:20:01
84,151.107619000,2025-01-07 21:20:01
85,127.846296000,2025-01-07 21:20:01
86,134.287414000,2025-01-07 21:20:01
87,133.091949000,2025-01-07 21:20:01
88,137.330464000,2025-01-07 21:20:01
89,138.838313000,2025-01-07 21:20:01
90,146.355142000,2025-01-07 21:20:02
91,180.206250000,2025-01-07 21:20:02
92,153.545015000,2025-01-07 21:20:02
93,139.880436000,2025-01-07 21:20:02
94,134.344335000,2025-01-07 21:20:02
95,147.635300000,2025-01-07 21:20:02
96,139.716679000,2025-01-07 21:20:03
97,128.525583000,2025-01-07 21:20:03
98,148.471859000,2025-01-07 21:20:03
99,143.920825000,2025-01-07 21:20:03
100,154.952219000,2025-01-07 21:20:03
