Transaction Number,Success (0=success),Latency (ms),CPU Utilization (%),Timestamp
2001,success,333.591916000,14,2025-01-13 12:21:18
2002,success,289.727958000,16,2025-01-13 12:21:19
2003,success,301.545586000,19,2025-01-13 12:21:19
2004,success,334.542077000,29,2025-01-13 12:21:20
2005,success,407.114111000,23,2025-01-13 12:21:20
2006,success,306.473596000,28,2025-01-13 12:21:21
2007,success,294.831630000,10,2025-01-13 12:21:21
2008,success,292.225877000,13,2025-01-13 12:21:22
2009,success,386.779356000,27,2025-01-13 12:21:22
2010,success,300.174018000,22,2025-01-13 12:21:23
2011,success,292.047291000,18,2025-01-13 12:21:23
2012,success,297.322550000,16,2025-01-13 12:21:24
2013,success,354.546863000,46,2025-01-13 12:21:25
2014,success,389.362716000,52,2025-01-13 12:21:25
2015,success,285.815840000,49,2025-01-13 12:21:26
2016,success,295.606542000,27,2025-01-13 12:21:26
2017,success,365.309783000,29,2025-01-13 12:21:27
2018,success,298.938204000,18,2025-01-13 12:21:27
2019,success,298.568495000,14,2025-01-13 12:21:28
2020,success,313.623521000,21,2025-01-13 12:21:28
2021,success,312.889576000,30,2025-01-13 12:21:29
2022,success,294.318111000,16,2025-01-13 12:21:29
2023,success,293.194650000,13,2025-01-13 12:21:30
2024,success,290.179898000,13,2025-01-13 12:21:30
2025,success,291.035886000,37,2025-01-13 12:21:31
2026,success,337.672544000,46,2025-01-13 12:21:31
2027,success,385.439712000,27,2025-01-13 12:21:32
2028,success,344.795514000,25,2025-01-13 12:21:33
2029,success,390.072214000,36,2025-01-13 12:21:33
2030,success,300.590884000,35,2025-01-13 12:21:34
2031,success,318.790892000,36,2025-01-13 12:21:34
2032,success,334.513787000,44,2025-01-13 12:21:35
2033,success,530.673364000,57,2025-01-13 12:21:36
2034,success,464.080932000,81,2025-01-13 12:21:36
2035,success,477.593771000,84,2025-01-13 12:21:37
2036,success,495.946829000,75,2025-01-13 12:21:38
2037,success,342.401950000,48,2025-01-13 12:21:38
2038,success,344.721464000,47,2025-01-13 12:21:39
2039,success,319.388885000,44,2025-01-13 12:21:39
2040,success,310.891180000,34,2025-01-13 12:21:40
2041,success,340.937189000,56,2025-01-13 12:21:41
2042,success,340.919214000,34,2025-01-13 12:21:41
2043,success,351.860298000,38,2025-01-13 12:21:42
