tx_num, duration
10000,214
10001,175
10002,191
10003,176
10004,267
10005,208
10006,199
10007,206
10008,212
10009,207
10010,553
10011,195
10012,207
10013,184
10014,178
10015,197
10016,193
10017,182
10018,179
10019,169
10020,512
10021,195
10022,182
10023,178
10024,212
10025,260
10026,228
10027,203
10028,195
10029,283
10030,841
10031,235
10032,268
10033,233
10034,264
10035,213
10036,240
10037,183
10038,193
10039,753
10040,218
10041,207
10042,295
10043,257
10044,251
10045,229
10046,209
10047,172
10048,319
10049,530
10050,244
10051,291
10052,241
10053,251
10054,217
10055,189
10056,591
10057,170
10058,210
10059,181
10060,202
10061,212
10062,198
10063,186
10064,640
10065,345
10066,381
10067,403
10068,284
10069,249
10070,246
10071,775
10072,407
10073,299
10074,402
10075,356
10076,371
10077,777
10078,388
10079,348
10080,415
10081,276
10082,393
10083,785
10084,311
10085,238
10086,333
10087,361
10088,237
10089,312
10090,887
10091,229
10092,270
10093,309
10094,291
10095,280
10096,314
10097,459
10098,577
10099,343
10100,290
10101,381
10102,243
10103,770
10104,296
10105,363
10106,412
10107,429
10108,401
10109,972
10110,401
10111,260
10112,343
10113,498
10114,344
10115,876
10116,427
10117,452
10118,364
10119,271
10120,364
10121,693
10122,355
10123,359
10124,345
10125,257
10126,435
10127,881
10128,300
10129,276
10130,388
10131,434
10132,315
10133,1027
10134,263
10135,200
10136,225
10137,292
10138,371
10139,312
10140,266
10141,923
10142,443
10143,343
10144,278
10145,312
10146,360
10147,995
10148,332
10149,256
10150,292
10151,350
10152,478
10153,530
10154,515
10155,199
10156,179
10157,220
10158,194
10159,203
10160,182
10161,197
10162,475
10163,188
10164,228
10165,200
10166,185
10167,212
10168,179
10169,225
10170,199
10171,213
10172,502
10173,188
10174,184
10175,206
10176,205
10177,222
10178,188
10179,212
10180,211
10181,169
10182,457
10183,199
10184,207
10185,215
10186,190
10187,224
10188,242
10189,195
10190,202
10191,167
10192,460
10193,176
10194,208
10195,193
10196,203
10197,208
10198,189
10199,215
10200,217
10201,217
10202,461
10203,200
10204,228
10205,233
10206,210
10207,172
10208,173
10209,172
10210,191
10211,237
10212,441
10213,167
10214,198
10215,203
10216,194
10217,206
10218,177
10219,184
10220,170
10221,200
10222,516
10223,190
10224,223
10225,184
10226,179
10227,187
10228,165
10229,169
10230,182
10231,171
10232,489
10233,198
10234,187
10235,181
10236,183
10237,187
10238,173
10239,184
10240,184
10241,181
10242,535
10243,203
10244,191
10245,174
10246,179
10247,166
10248,186
10249,170
10250,170
10251,186
10252,164
10253,473
10254,173
10255,162
10256,173
10257,190
10258,170
10259,196
10260,212
10261,165
10262,173
10263,464
10264,175
10265,190
10266,175
10267,188
10268,190
10269,176
10270,181
10271,173
10272,188
10273,456
10274,184
10275,178
10276,185
10277,199
10278,195
10279,207
10280,180
10281,191
10282,174
10283,489
10284,183
10285,190
10286,183
10287,200
10288,172
10289,182
10290,177
10291,193
10292,205
10293,435
10294,179
10295,185
10296,207
10297,221
10298,175
10299,183
10300,163
10301,169
10302,176
10303,443
10304,184
10305,176
10306,187
10307,209
10308,217
10309,190
10310,182
10311,199
10312,203
10313,542
10314,208
10315,185
10316,176
10317,175
10318,168
10319,181
10320,183
10321,173
10322,194
10323,461
10324,196
10325,179
10326,187
10327,172
10328,167
10329,182
10330,208
10331,188
10332,172
10333,525
10334,239
10335,211
10336,215
10337,172
10338,209
10339,190
10340,197
10341,180
10342,198
10343,489
10344,201
10345,196
10346,193
10347,186
10348,182
10349,188
10350,168
10351,204
10352,165
10353,489
10354,208
10355,185
10356,172
10357,161
10358,173
10359,209
10360,187
10361,183
10362,173
10363,457
10364,174
10365,225
10366,215
10367,202
10368,189
10369,187
10370,176
10371,225
10372,180
10373,456
10374,172
10375,173
10376,164
10377,195
10378,184
10379,185
10380,159
10381,163
10382,181
10383,450
10384,171
10385,192
10386,200
10387,190
10388,178
10389,182
10390,167
10391,163
10392,177
10393,433
10394,177
10395,203
10396,200
10397,221
10398,185
10399,173
10400,169
10401,180
10402,208
10403,458
10404,219
10405,194
10406,183
10407,171
10408,169
10409,197
10410,175
10411,182
10412,162
10413,470
10414,172
10415,162
10416,211
10417,180
10418,190
10419,179
10420,168
10421,179
10422,172
10423,548
10424,188
10425,174
10426,184
10427,198
10428,216
10429,158
10430,174
10431,208
10432,179
10433,466
10434,186
10435,199
10436,170
10437,197
10438,185
10439,191
10440,172
10441,175
10442,183
10443,641
10444,225
10445,318
10446,251
10447,222
10448,180
10449,306
10450,255
10451,222
10452,725
10453,246
10454,220
10455,246
10456,499
10457,888
10458,399
10459,400
10460,378
10461,280
10462,233
10463,289
10464,784
10465,272
10466,303
10467,294
10468,278
10469,493
10470,190
10471,233
10472,210
10473,232
10474,233
10475,209
10476,214
10477,233
10478,225
10479,558
10480,189
10481,197
10482,215
10483,180
10484,223
10485,226
10486,259
10487,220
10488,240
10489,557
10490,223
10491,200
10492,203
10493,219
10494,192
10495,209
10496,212
10497,168
10498,197
10499,477
10500,192
10501,194
10502,188
10503,184
10504,207
10505,190
10506,186
10507,222
10508,256
10509,855
10510,376
10511,391
10512,325
10513,301
10514,314
10515,1077
10516,459
10517,445
10518,277
10519,371
10520,460
10521,848
10522,304
10523,360
10524,310
10525,925
10526,319
10527,431
10528,249
10529,256
10530,300
10531,357
10532,919
10533,281
10534,334
10535,297
10536,533
10537,309
10538,772
10539,368
10540,367
10541,433
10542,328
10543,338
10544,867
10545,464
10546,326
10547,277
10548,267
10549,291
10550,1183
10551,383
10552,433
10553,345
10554,379
10555,305
10556,848
10557,348
10558,280
10559,335
10560,450
10561,491
10562,1001
10563,446
10564,324
10565,387
10566,428
10567,1035
10568,335
10569,234
10570,244
10571,230
10572,228
10573,250
10574,240
10575,364
10576,578
10577,257
10578,259
10579,331
10580,356
10581,335
10582,805
10583,394
10584,319
10585,341
10586,795
10587,336
10588,345
10589,408
10590,399
10591,675
10592,593
10593,367
10594,397
10595,310
10596,459
10597,731
10598,422
10599,244
10600,320
10601,847
10602,249
10603,374
10604,265
10605,289
10606,395
10607,376
10608,794
10609,423
10610,283
10611,327
10612,479
10613,325
10614,1188
10615,407
10616,333
10617,357
10618,304
10619,365
10620,389
10621,715
10622,446
10623,268
10624,403
10625,912
10626,314
10627,274
10628,293
10629,375
10630,315
10631,341
10632,1038
10633,236
10634,291
10635,418
10636,341
10637,362
10638,841
10639,257
10640,345
10641,234
10642,362
10643,326
10644,300
10645,984
10646,242
10647,265
10648,400
10649,303
10650,282
10651,273
10652,845
10653,382
10654,295
10655,368
10656,341
10657,318
10658,461
10659,681
10660,320
10661,264
10662,230
10663,230
10664,211
10665,553
10666,206
10667,207
10668,209
10669,240
10670,195
10671,205
10672,257
10673,227
10674,246
10675,1092
10676,329
10677,421
10678,994
10679,309
10680,285
10681,371
10682,323
10683,435
10684,1115
10685,486
10686,371
10687,300
10688,357
10689,377
10690,948
10691,253
10692,352
10693,306
10694,409
10695,345
10696,503
10697,463
10698,398
10699,351
10700,331
10701,957
10702,224
10703,278
10704,351
10705,313
10706,332
10707,277
10708,892
10709,365
10710,365
10711,363
10712,271
10713,484
10714,772
10715,360
10716,286
10717,267
10718,277
10719,302
10720,368
10721,994
10722,400
10723,246
10724,299
10725,286
10726,313
10727,355
10728,1095
10729,370
10730,437
10731,289
10732,299
10733,329
10734,822
10735,247
10736,232
10737,272
10738,236
10739,231
10740,205
10741,213
10742,210
10743,488
10744,370
10745,211
10746,197
10747,207
10748,200
10749,204
10750,220
10751,248
10752,541
10753,207
10754,198
10755,219
10756,247
10757,210
10758,196
10759,187
10760,186
10761,187
10762,535
10763,219
10764,174
10765,232
10766,204
10767,183
10768,184
10769,184
10770,199
10771,196
10772,551
10773,248
10774,257
10775,218
10776,211
10777,201
10778,184
10779,191
10780,171
10781,186
10782,527
10783,181
10784,175
10785,182
10786,229
10787,278
10788,230
10789,193
10790,192
10791,232
10792,564
10793,176
10794,194
10795,179
10796,194
10797,166
10798,165
10799,186
10800,181
10801,185
10802,519
10803,176
10804,194
10805,184
10806,185
10807,191
10808,193
10809,195
10810,189
10811,210
