tx_num, duration
1,172
2,126
3,124
4,125
5,135
6,144
7,112
8,110
9,138
10,167
11,253
12,144
13,136
14,146
15,118
16,154
17,136
18,152
19,131
20,179
21,244
22,150
23,169
24,171
25,143
26,126
27,139
28,153
29,138
30,136
31,231
32,119
33,119
34,141
35,127
36,182
37,241
38,235
39,163
40,283
41,345
42,174
43,131
44,143
45,206
46,199
47,173
48,220
49,214
50,220
51,435
52,291
53,296
54,205
55,299
56,292
57,240
58,333
59,474
60,310
61,201
62,311
63,337
64,240
65,256
66,232
67,365
68,341
69,359
70,385
71,189
72,234
73,235
74,479
75,252
76,301
77,273
78,320
79,348
80,271
81,201
82,359
83,241
84,205
85,478
86,337
87,312
88,258
89,387
90,192
91,150
92,120
93,129
94,129
95,134
96,134
97,120
98,129
99,221
100,151
101,158
102,132
103,143
104,122
105,132
106,133
107,124
108,137
109,196
110,148
111,138
112,133
113,139
114,140
115,120
116,147
117,115
118,125
119,298
120,162
121,142
122,133
123,117
124,132
125,138
126,163
127,253
128,177
129,233
130,128
131,138
132,141
133,136
134,136
135,117
136,137
137,112
138,120
139,225
140,119
141,130
142,188
143,118
144,129
145,118
146,127
147,126
148,172
149,199
150,126
151,123
152,139
153,146
154,138
155,145
156,144
157,126
158,146
159,219
160,136
161,129
162,138
163,144
164,123
165,147
166,123
167,122
168,148
169,192
170,154
171,140
172,121
173,129
174,118
175,136
176,137
177,143
178,130
179,228
180,140
181,131
182,142
183,132
184,140
185,149
186,151
187,141
188,149
189,198
190,120
191,121
192,127
193,134
194,128
195,122
196,149
197,171
198,136
199,244
200,134
201,186
202,136
203,197
204,159
205,143
206,146
207,127
208,148
209,237
210,132
211,157
212,119
213,141
214,139
215,131
216,128
217,133
218,148
219,211
220,150
221,199
222,175
223,159
224,173
225,132
226,155
227,126
228,132
229,229
230,121
231,152
232,151
233,166
234,143
235,145
236,134
237,139
238,128
239,214
240,114
241,132
242,136
243,140
244,153
245,139
246,171
247,137
248,138
249,201
250,134
251,148
252,133
253,148
254,187
255,197
256,195
257,164
258,169
259,214
260,128
261,142
262,165
263,306
264,262
265,247
266,332
267,210
268,321
269,197
270,123
271,139
272,131
273,168
274,197
275,177
276,288
277,298
278,448
279,257
280,276
281,196
282,213
283,252
284,296
285,193
286,191
287,477
288,314
289,195
290,174
291,122
292,157
293,148
294,159
295,169
296,199
297,263
298,277
299,166
300,260
301,188
302,191
303,237
304,152
305,219
306,366
307,381
308,298
309,174
310,267
311,135
312,164
313,154
314,144
315,192
316,341
317,333
318,241
319,356
320,345
321,349
322,270
323,419
324,362
325,279
326,260
327,240
328,159
329,377
330,227
331,392
332,250
333,239
334,261
335,328
336,369
337,328
338,382
339,402
340,288
341,335
342,452
343,268
344,507
345,330
346,272
347,301
348,405
349,292
350,289
351,460
352,425
353,313
354,376
355,319
356,200
357,206
358,409
359,203
360,188
361,183
362,173
363,130
364,136
365,125
366,124
367,151
368,204
369,138
370,154
371,119
372,137
373,131
374,131
375,129
376,153
377,144
378,201
379,139
380,129
381,126
382,149
383,119
384,137
385,149
386,125
387,137
388,216
389,142
390,118
391,144
392,128
393,144
394,130
395,122
396,130
397,126
398,206
399,120
400,142
401,162
402,121
403,123
404,132
405,142
406,124
407,149
408,241
409,173
410,161
411,140
412,164
413,128
414,138
415,147
416,162
417,175
418,331
419,164
420,150
421,177
422,205
423,124
424,137
425,123
426,133
427,145
428,221
429,121
430,130
431,120
432,119
433,130
434,121
435,132
436,130
437,205
438,459
439,380
440,273
441,201
442,144
443,119
444,136
445,125
446,130
447,133
448,199
449,127
450,127
451,157
452,176
453,178
454,156
455,148
456,149
457,146
458,307
459,178
460,180
461,158
462,171
463,273
464,202
465,165
466,162
467,161
468,291
469,174
470,197
471,157
472,160
473,134
474,141
475,146
476,149
477,136
478,231
479,186
480,360
481,394
482,322
483,295
484,181
485,136
486,245
487,159
488,134
489,123
490,133
491,167
492,148
493,134
494,129
495,143
496,216
497,163
498,137
499,129
500,177
501,151
502,146
503,185
504,134
505,163
506,230
507,143
508,126
509,122
510,132
511,124
512,130
513,148
514,138
515,125
516,206
517,124
518,133
519,121
520,125
521,138
522,144
523,150
524,141
525,124
526,232
527,141
528,132
529,123
530,141
531,127
532,136
533,126
534,135
535,131
536,202
537,135
538,124
539,139
540,154
541,140
542,117
543,120
544,123
545,132
546,216
547,112
548,116
549,141
550,125
551,277
552,435
553,251
554,186
555,226
556,293
557,138
558,180
559,141
560,143
561,159
562,162
563,149
564,134
565,150
566,252
567,158
568,129
569,144
570,152
571,135
572,125
573,137
574,157
575,134
576,294
577,157
578,138
579,157
580,130
581,146
582,128
583,123
584,145
585,166
586,268
587,175
588,172
589,150
590,194
591,178
592,163
593,150
594,145
595,144
596,303
597,161
598,144
599,141
600,131
601,130
602,121
603,135
604,139
605,156
606,185
607,145
608,126
609,129
610,140
611,120
612,120
613,127
614,123
615,132
616,205
617,121
618,125
619,127
620,153
621,125
622,157
623,136
624,132
625,147
626,191
627,137
628,147
629,135
630,122
631,147
632,119
633,125
634,118
635,148
636,195
637,138
638,126
639,131
640,128
641,127
642,129
643,117
644,113
645,141
646,240
647,123
648,120
649,143
650,126
651,133
652,129
653,136
654,139
655,143
656,209
657,139
658,123
659,140
660,135
661,138
662,141
663,128
664,125
665,139
666,219
667,118
668,120
669,135
670,123
671,135
672,121
673,127
674,118
675,140
676,210
677,127
678,120
679,118
680,138
681,141
682,140
683,146
684,131
685,137
686,218
687,135
688,126
689,147
690,127
691,141
692,146
693,126
694,123
695,131
696,214
697,114
698,127
699,120
700,117
701,133
702,140
703,121
704,133
705,126
706,219
707,122
708,137
709,152
710,135
711,139
712,128
713,133
714,114
715,135
716,228
717,122
718,120
719,115
720,130
721,134
722,118
723,129
724,124
725,140
726,194
727,135
728,119
729,135
730,122
731,118
732,118
733,122
734,125
735,154
736,199
737,128
738,156
739,135
740,143
741,139
742,144
743,117
744,134
745,139
746,225
747,154
748,143
749,136
750,140
751,125
752,140
753,123
754,132
755,204
756,223
757,121
758,147
759,167
760,118
761,129
762,129
763,138
764,146
765,145
766,214
767,119
768,134
769,122
770,136
