tx_num, duration
2001,3086
2002,3003
2003,2902
2004,2961
2005,2835
2006,2737
2007,2818
2008,2616
2009,2698
2010,2613
2011,2609
2012,2621
2013,2768
2014,2820
2015,2531
2016,2634
2017,2587
2018,2591
2019,2632
2020,2865
2021,2506
2022,2536
2023,2808
2024,3023
2025,2535
2026,2655
2027,2823
2028,2883
2029,2716
2030,2815
2031,2772
2032,2672
2033,2895
2034,2805
2035,2737
2036,2812
2037,2942
2038,2632
2039,2521
2040,2685
2041,2532
2042,2728
2043,2933
2044,3183
2045,2992
2046,2813
2047,2896
2048,2744
2049,2887
2050,2866
2051,2986
2052,2643
2053,2930
2054,2928
2055,2981
2056,3290
2057,2925
2058,2929
2059,3024
2060,2755
2061,2815
2062,2662
2063,2501
2064,2682
2065,2641
2066,2684
2067,3138
2068,2673
2069,2706
2070,2516
2071,2658
2072,2456
2073,2670
2074,2674
2075,2672
2076,2535
2077,2651
2078,2589
2079,2650
2080,2606
2081,2566
2082,2511
2083,2547
2084,2647
2085,2735
2086,2650
2087,2764
2088,2856
2089,2590
2090,2505
2091,2490
2092,2502
2093,2764
2094,2654
2095,2848
2096,2921
2097,2879
2098,2644
2099,2740
2100,2724
2101,2583
2102,2600
2103,2534
2104,2533
2105,2530
2106,2630
2107,2674
2108,2525
2109,2675
2110,2609
2111,3167
2112,3198
2113,3202
2114,2839
2115,2931
2116,3115
2117,3060
2118,2659
2119,2533
2120,2452
2121,2618
2122,2672
2123,2477
2124,2800
2125,2699
2126,2719
2127,2624
2128,2563
2129,2621
2130,2723
2131,2666
2132,2548
2133,2644
2134,2593
2135,2715
2136,2780
2137,2914
2138,2677
2139,2600
2140,2651
2141,2648
2142,2588
2143,2519
2144,2489
2145,2702
2146,2519
2147,2665
2148,2566
2149,2484
2150,2607
2151,2499
2152,2608
2153,2746
2154,2614
2155,2789
2156,2726
2157,2521
2158,2520
2159,2616
2160,2649
2161,2607
2162,2527
2163,2682
2164,2618
2165,2620
2166,2749
2167,2839
2168,3095
2169,3221
2170,2860
2171,2930
2172,2845
2173,3035
2174,2737
2175,2731
2176,2903
2177,3228
2178,3087
2179,2870
2180,2916
2181,2833
2182,2937
2183,2874
2184,3076
2185,3114
2186,2737
2187,2719
2188,2720
2189,2701
2190,2954
2191,3059
2192,3018
2193,3151
2194,2946
2195,3062
2196,2550
2197,2737
2198,2688
2199,2663
2200,2724
2201,2631
Total number of transactions = 200
average latency = 2759 ms
Total latency = 551803 ms
