Metric,Value
Number of Transactions,200
Total Duration (s),13.84
Throughput (TPS),14.45
CPU Usage Increase (%),70.3
Memory Usage Increase (MB),-39
Metric,Value
Number of Transactions,50
Total Duration (s),3.49
Throughput (TPS),14.32
CPU Usage Increase (%),31.2
Memory Usage Increase (MB),10
Metric,Value
Number of Transactions,1
Total Duration (s),.34
Throughput (TPS),2.94
CPU Usage Increase (%),.8
Memory Usage Increase (MB),-2
Metric,Value
Number of Transactions,1
Total Duration (s),.15
Throughput (TPS),6.66
CPU Usage Increase (%),1.4
Memory Usage Increase (MB),-2
Metric,Value
Number of Transactions,2
Total Duration (s),.16
Throughput (TPS),12.50
CPU Usage Increase (%),-2.7
Memory Usage Increase (MB),6
Metric,Value
Number of Transactions,3
Total Duration (s),.20
Throughput (TPS),15.00
CPU Usage Increase (%),1.0
Memory Usage Increase (MB),-7
Metric,Value
Number of Transactions,3
Total Duration (s),.22
Throughput (TPS),13.63
CPU Usage Increase (%),3.4
Memory Usage Increase (MB),-7
Metric,Value
Number of Transactions,8
Total Duration (s),.54
Throughput (TPS),14.81
CPU Usage Increase (%),17.4
Memory Usage Increase (MB),22
