time,transactions,batch_throughput_TPS,avg_tx_duration_ms
4, 100, 29.32, 34.14
7, 100, 29.06, 34.48
11, 100, 29.15, 34.39
14, 100, 29.32, 34.13
18, 100, 28.73, 34.81
21, 100, 29.32, 34.18
25, 100, 29.15, 34.30
28, 100, 28.98, 34.52
31, 100, 28.90, 34.69
36, 100, 23.52, 42.54
40, 100, 26.59, 37.61
43, 100, 29.23, 34.29
46, 100, 29.32, 34.12
50, 100, 29.23, 34.23
53, 100, 29.06, 34.43
57, 100, 29.06, 34.44
60, 100, 29.41, 34.01
64, 100, 28.98, 34.59
67, 100, 28.98, 34.53
70, 100, 28.98, 34.57
74, 100, 28.49, 35.11
77, 100, 28.81, 34.70
81, 100, 28.90, 34.64
84, 100, 29.76, 33.63
88, 100, 29.06, 34.43
91, 100, 29.06, 34.45
95, 100, 29.23, 34.24
98, 100, 28.81, 34.77
102, 100, 29.32, 34.12
105, 100, 29.06, 34.40
108, 100, 28.98, 34.56
112, 100, 29.06, 34.44
115, 100, 28.81, 34.74
119, 100, 28.81, 34.74
122, 100, 29.06, 34.41
126, 100, 28.73, 34.83
129, 100, 28.98, 34.59
133, 100, 29.06, 34.47
136, 100, 28.90, 34.69
140, 100, 29.23, 34.23
143, 100, 28.65, 34.94
147, 100, 23.41, 42.77
151, 100, 27.10, 36.96
155, 100, 29.06, 34.41
158, 100, 29.06, 34.40
161, 100, 28.73, 34.82
165, 100, 29.23, 34.27
168, 100, 29.32, 34.15
172, 100, 28.81, 34.78
175, 100, 29.15, 34.39
179, 100, 28.73, 34.82
182, 100, 29.15, 34.31
186, 100, 29.06, 34.44
189, 100, 28.81, 34.73
193, 100, 28.65, 34.97
196, 100, 29.06, 34.45
200, 100, 28.90, 34.62
203, 100, 29.23, 34.24
206, 100, 28.90, 34.61
210, 100, 28.90, 34.69
213, 100, 29.32, 34.19
217, 100, 28.98, 34.58
220, 100, 29.06, 34.44
224, 100, 29.06, 34.40
227, 100, 29.32, 34.12
231, 100, 29.06, 34.49
234, 100, 29.23, 34.20
237, 100, 29.23, 34.27
241, 100, 29.32, 34.18
244, 100, 28.73, 34.81
248, 100, 29.06, 34.42
251, 100, 28.81, 34.70
255, 100, 28.65, 34.98
259, 100, 23.86, 41.99
263, 100, 26.17, 38.20
266, 100, 29.15, 34.37
270, 100, 28.73, 34.88
273, 100, 29.32, 34.17
277, 100, 29.06, 34.42
280, 100, 29.49, 33.96
283, 100, 29.32, 34.15
287, 100, 29.49, 33.98
290, 100, 29.23, 34.28
294, 100, 28.24, 35.43
297, 100, 29.32, 34.10
301, 100, 28.98, 34.59
304, 100, 29.23, 34.29
308, 100, 29.41, 34.07
311, 100, 28.57, 35.04
314, 100, 29.32, 34.18
318, 100, 28.98, 34.59
321, 100, 28.81, 34.77
325, 100, 28.90, 34.67
328, 100, 29.23, 34.28
332, 100, 28.40, 35.21
335, 100, 29.41, 34.07
339, 100, 28.98, 34.59
342, 100, 29.41, 34.02
346, 100, 28.98, 34.52
349, 100, 29.15, 34.35
353, 100, 29.06, 34.40
356, 100, 28.49, 35.18
359, 100, 29.15, 34.31
363, 100, 28.90, 34.67
366, 100, 29.06, 34.45
371, 100, 23.25, 43.03
375, 100, 24.93, 40.18
378, 100, 28.98, 34.59
382, 100, 28.90, 34.61
385, 100, 29.41, 34.07
389, 100, 28.65, 34.97
392, 100, 29.49, 33.97
395, 100, 28.90, 34.64
399, 100, 28.73, 34.81
402, 100, 29.15, 34.37
406, 100, 28.90, 34.66
409, 100, 28.73, 34.87
413, 100, 29.23, 34.25
416, 100, 28.90, 34.67
420, 100, 28.98, 34.58
423, 100, 28.98, 34.53
427, 100, 29.23, 34.26
430, 100, 29.41, 34.05
434, 100, 28.65, 34.95
437, 100, 29.23, 34.21
440, 100, 28.98, 34.50
444, 100, 28.98, 34.51
447, 100, 29.06, 34.48
451, 100, 29.06, 34.48
454, 100, 29.32, 34.12
458, 100, 28.98, 34.58
461, 100, 28.90, 34.69
465, 100, 29.41, 34.06
468, 100, 28.81, 34.75
471, 100, 28.98, 34.52
475, 100, 29.23, 34.25
478, 100, 28.98, 34.51
482, 100, 28.81, 34.77
485, 100, 29.32, 34.10
489, 100, 29.06, 34.47
492, 100, 28.98, 34.52
496, 100, 29.06, 34.42
499, 100, 28.73, 34.82
503, 100, 28.98, 34.50
506, 100, 28.90, 34.67
509, 100, 28.90, 34.62
513, 100, 28.57, 35.01
516, 100, 28.81, 34.70
520, 100, 28.73, 34.83
523, 100, 29.15, 34.37
527, 100, 29.23, 34.21
530, 100, 29.06, 34.43
534, 100, 28.73, 34.82
537, 100, 29.15, 34.33
541, 100, 29.15, 34.34
544, 100, 29.41, 34.03
548, 100, 28.98, 34.58
551, 100, 29.41, 34.04
554, 100, 28.73, 34.89
558, 100, 28.90, 34.66
561, 100, 28.65, 34.98
565, 100, 29.32, 34.16
568, 100, 29.49, 33.93
572, 100, 28.57, 35.05
575, 100, 28.98, 34.50
579, 100, 29.32, 34.19
582, 100, 28.73, 34.84
586, 100, 28.81, 34.71
589, 100, 28.81, 34.74
593, 100, 28.98, 34.54
596, 100, 28.65, 34.92
599, 100, 28.98, 34.58
603, 100, 29.23, 34.27
606, 100, 29.23, 34.25
610, 100, 29.15, 34.39
613, 100, 29.15, 34.32
617, 100, 28.65, 34.98
620, 100, 29.23, 34.27
624, 100, 28.81, 34.72
627, 100, 28.98, 34.57
631, 100, 28.32, 35.35
634, 100, 29.23, 34.20
638, 100, 28.90, 34.65
641, 100, 28.90, 34.66
644, 100, 28.98, 34.52
648, 100, 28.98, 34.53
651, 100, 29.15, 34.33
655, 100, 28.98, 34.59
658, 100, 29.06, 34.40
662, 100, 28.57, 35.00
665, 100, 29.32, 34.16
669, 100, 28.73, 34.86
672, 100, 29.23, 34.28
