time,transactions,batch_throughput_TPS,avg_tx_duration_ms
4, 100, 27.24, 36.77
7, 100, 27.39, 36.52
11, 100, 26.88, 37.22
15, 100, 27.24, 36.76
18, 100, 26.95, 37.12
22, 100, 27.39, 36.53
26, 100, 26.88, 37.24
29, 100, 27.24, 36.77
33, 100, 27.24, 36.74
37, 100, 27.10, 36.96
40, 100, 27.02, 37.02
44, 100, 27.24, 36.73
48, 100, 26.88, 37.25
52, 100, 27.62, 36.28
55, 100, 26.95, 37.13
59, 100, 27.62, 36.28
63, 100, 27.77, 36.08
66, 100, 27.24, 36.74
70, 100, 26.73, 37.42
74, 100, 27.17, 36.81
77, 100, 27.10, 36.97
81, 100, 27.10, 36.94
85, 100, 26.73, 37.43
88, 100, 27.32, 36.61
92, 100, 27.47, 36.48
96, 100, 27.39, 36.57
99, 100, 27.39, 36.57
103, 100, 26.95, 37.17
107, 100, 27.10, 36.90
111, 100, 27.32, 36.64
114, 100, 27.02, 37.06
118, 100, 27.10, 36.90
122, 100, 26.17, 38.23
126, 100, 25.70, 38.98
129, 100, 27.17, 36.88
133, 100, 27.32, 36.68
137, 100, 27.24, 36.79
140, 100, 27.02, 37.04
144, 100, 27.70, 36.11
148, 100, 27.10, 36.91
152, 100, 26.80, 37.34
155, 100, 27.47, 36.44
159, 100, 25.77, 38.82
163, 100, 27.10, 36.97
167, 100, 26.24, 38.13
170, 100, 26.80, 37.32
174, 100, 26.88, 37.27
178, 100, 27.17, 36.88
181, 100, 27.02, 37.04
185, 100, 26.95, 37.19
189, 100, 26.95, 37.13
193, 100, 27.39, 36.54
196, 100, 27.39, 36.55
200, 100, 27.02, 37.08
204, 100, 27.10, 36.99
207, 100, 26.66, 37.54
211, 100, 27.39, 36.58
215, 100, 27.39, 36.57
218, 100, 27.32, 36.69
222, 100, 27.02, 37.00
226, 100, 27.39, 36.52
229, 100, 27.24, 36.75
233, 100, 27.10, 36.96
237, 100, 27.17, 36.83
241, 100, 26.66, 37.51
244, 100, 27.10, 36.96
248, 100, 27.02, 37.06
252, 100, 27.02, 37.09
255, 100, 27.17, 36.89
259, 100, 27.17, 36.82
263, 100, 27.02, 37.00
267, 100, 27.02, 37.01
270, 100, 26.80, 37.33
274, 100, 27.39, 36.51
278, 100, 27.10, 36.97
281, 100, 27.10, 36.95
285, 100, 27.02, 37.01
289, 100, 27.24, 36.78
292, 100, 27.10, 36.97
296, 100, 27.24, 36.75
300, 100, 27.93, 35.86
303, 100, 26.45, 37.81
307, 100, 27.02, 37.08
311, 100, 27.47, 36.48
315, 100, 26.88, 37.25
318, 100, 27.24, 36.77
322, 100, 27.10, 36.94
326, 100, 27.10, 36.94
329, 100, 27.17, 36.82
333, 100, 27.32, 36.60
337, 100, 27.02, 37.02
340, 100, 26.66, 37.58
344, 100, 27.02, 37.07
348, 100, 27.32, 36.64
352, 100, 27.02, 37.06
355, 100, 27.32, 36.68
359, 100, 27.54, 36.37
363, 100, 27.17, 36.84
366, 100, 27.17, 36.86
370, 100, 27.10, 36.93
374, 100, 27.10, 36.94
377, 100, 27.02, 37.07
381, 100, 27.24, 36.72
385, 100, 27.62, 36.27
388, 100, 26.95, 37.14
392, 100, 26.66, 37.58
396, 100, 27.47, 36.40
400, 100, 26.73, 37.42
403, 100, 26.73, 37.41
407, 100, 27.39, 36.58
411, 100, 27.39, 36.59
414, 100, 26.80, 37.33
418, 100, 26.95, 37.13
422, 100, 27.54, 36.33
425, 100, 27.39, 36.50
429, 100, 27.62, 36.29
433, 100, 26.80, 37.38
436, 100, 27.54, 36.36
440, 100, 27.17, 36.84
444, 100, 26.95, 37.12
448, 100, 27.17, 36.84
451, 100, 27.10, 36.95
455, 100, 27.47, 36.46
459, 100, 27.24, 36.74
462, 100, 27.39, 36.52
466, 100, 27.02, 37.03
470, 100, 27.39, 36.54
473, 100, 27.54, 36.39
477, 100, 27.47, 36.48
481, 100, 27.24, 36.74
484, 100, 27.32, 36.64
488, 100, 27.24, 36.79
492, 100, 27.24, 36.75
495, 100, 27.47, 36.42
499, 100, 27.54, 36.33
503, 100, 27.39, 36.59
506, 100, 27.32, 36.61
510, 100, 27.02, 37.05
514, 100, 27.02, 37.05
518, 100, 24.27, 41.28
522, 100, 26.10, 38.30
525, 100, 27.17, 36.84
529, 100, 27.47, 36.41
533, 100, 27.02, 37.05
536, 100, 27.54, 36.31
540, 100, 27.10, 36.94
544, 100, 27.17, 36.83
547, 100, 27.47, 36.49
551, 100, 26.80, 37.30
555, 100, 27.47, 36.41
558, 100, 27.39, 36.52
562, 100, 27.39, 36.54
566, 100, 27.24, 36.75
569, 100, 27.24, 36.78
573, 100, 26.73, 37.46
577, 100, 27.17, 36.84
581, 100, 27.17, 36.88
584, 100, 27.54, 36.33
588, 100, 27.39, 36.56
592, 100, 27.54, 36.39
595, 100, 27.47, 36.42
599, 100, 27.17, 36.87
603, 100, 27.47, 36.41
606, 100, 27.39, 36.59
610, 100, 26.95, 37.12
614, 100, 27.32, 36.63
617, 100, 27.54, 36.37
621, 100, 27.47, 36.41
625, 100, 27.17, 36.80
628, 100, 27.24, 36.76
632, 100, 26.95, 37.19
636, 100, 27.02, 37.02
639, 100, 26.52, 37.72
643, 100, 27.47, 36.48
647, 100, 27.10, 36.91
651, 100, 26.73, 37.44
654, 100, 27.02, 37.05
658, 100, 27.39, 36.51
662, 100, 27.10, 36.91
665, 100, 27.62, 36.29
669, 100, 27.47, 36.45
673, 100, 27.02, 37.08
676, 100, 26.59, 37.63
680, 100, 27.02, 37.06
684, 100, 27.39, 36.59
687, 100, 27.62, 36.28
691, 100, 27.24, 36.79
695, 100, 27.39, 36.57
698, 100, 27.54, 36.34
702, 100, 26.88, 37.26
706, 100, 27.77, 36.07
709, 100, 26.95, 37.18
713, 100, 27.02, 37.05
717, 100, 27.24, 36.75
720, 100, 27.62, 36.28
724, 100, 27.62, 36.27
728, 100, 27.62, 36.29
731, 100, 27.54, 36.30
735, 100, 26.59, 37.61
739, 100, 26.66, 37.51
743, 100, 27.54, 36.35
746, 100, 27.24, 36.70
750, 100, 27.32, 36.69
754, 100, 26.80, 37.33
757, 100, 27.24, 36.71
761, 100, 27.54, 36.33
765, 100, 27.24, 36.76
768, 100, 27.32, 36.63
772, 100, 27.47, 36.46
776, 100, 27.54, 36.34
779, 100, 27.54, 36.32
783, 100, 27.47, 36.40
787, 100, 27.17, 36.82
790, 100, 27.47, 36.41
794, 100, 26.88, 37.22
798, 100, 27.17, 36.82
801, 100, 26.80, 37.34
805, 100, 27.70, 36.10
809, 100, 27.39, 36.56
812, 100, 26.52, 37.76
816, 100, 27.17, 36.86
820, 100, 27.24, 36.77
823, 100, 27.24, 36.75
827, 100, 27.62, 36.25
831, 100, 27.17, 36.86
835, 100, 27.10, 36.96
838, 100, 27.24, 36.79
842, 100, 26.73, 37.48
846, 100, 27.24, 36.78
849, 100, 27.17, 36.83
853, 100, 27.24, 36.73
857, 100, 26.73, 37.40
860, 100, 26.88, 37.25
864, 100, 27.62, 36.28
868, 100, 27.39, 36.51
871, 100, 27.17, 36.84
875, 100, 27.10, 36.92
880, 100, 21.97, 45.58
883, 100, 27.17, 36.87
887, 100, 27.54, 36.34
891, 100, 27.02, 37.05
894, 100, 26.95, 37.18
898, 100, 26.88, 37.27
902, 100, 27.54, 36.38
906, 100, 26.88, 37.26
909, 100, 27.17, 36.88
913, 100, 27.32, 36.64
917, 100, 27.39, 36.51
920, 100, 26.80, 37.31
924, 100, 27.10, 36.92
928, 100, 26.88, 37.26
931, 100, 27.24, 36.75
935, 100, 26.73, 37.44
939, 100, 27.10, 36.95
943, 100, 25.44, 39.39
947, 100, 23.98, 41.75
951, 100, 27.10, 36.96
954, 100, 27.17, 36.81
958, 100, 26.80, 37.30
962, 100, 26.80, 37.39
966, 100, 26.95, 37.11
969, 100, 27.62, 36.25
973, 100, 27.47, 36.46
977, 100, 27.47, 36.45
980, 100, 27.54, 36.35
984, 100, 26.80, 37.30
988, 100, 28.01, 35.78
991, 100, 27.17, 36.84
995, 100, 27.02, 37.03
999, 100, 27.02, 37.04
1002, 100, 26.73, 37.42
1006, 100, 27.17, 36.83
1010, 100, 27.10, 36.95
1013, 100, 27.24, 36.78
1017, 100, 27.17, 36.85
1021, 100, 27.62, 36.26
1024, 100, 27.39, 36.57
1028, 100, 27.70, 36.17
1032, 100, 27.02, 37.00
1035, 100, 27.39, 36.51
1039, 100, 27.17, 36.89
1043, 100, 27.77, 36.07
1046, 100, 26.88, 37.24
1050, 100, 27.10, 36.96
1055, 100, 22.32, 44.89
1058, 100, 27.02, 37.06
1062, 100, 27.47, 36.40
1066, 100, 27.39, 36.53
1069, 100, 27.70, 36.17
1073, 100, 27.17, 36.89
1077, 100, 27.47, 36.44
1080, 100, 26.88, 37.24
1084, 100, 27.24, 36.72
1088, 100, 27.17, 36.85
1091, 100, 27.17, 36.89
1095, 100, 27.32, 36.64
1099, 100, 27.39, 36.59
1102, 100, 27.24, 36.74
1106, 100, 26.95, 37.14
1110, 100, 27.17, 36.87
1114, 100, 27.39, 36.58
1117, 100, 26.73, 37.47
1121, 100, 27.47, 36.43
1125, 100, 27.10, 36.96
1128, 100, 27.62, 36.20
1132, 100, 26.95, 37.18
1136, 100, 27.62, 36.20
1139, 100, 26.80, 37.30
1143, 100, 26.73, 37.43
1147, 100, 27.17, 36.82
1150, 100, 27.39, 36.52
1154, 100, 26.80, 37.34
1158, 100, 27.62, 36.24
1162, 100, 24.03, 41.62
1166, 100, 25.06, 39.92
1170, 100, 26.95, 37.17
1173, 100, 27.32, 36.69
1177, 100, 27.39, 36.58
1181, 100, 27.39, 36.58
1184, 100, 27.24, 36.76
1188, 100, 26.88, 37.24
1192, 100, 26.66, 37.55
1196, 100, 26.95, 37.13
1199, 100, 27.39, 36.52
1203, 100, 26.59, 37.67
1207, 100, 27.77, 36.04
1210, 100, 26.66, 37.54
1214, 100, 27.77, 36.02
1218, 100, 27.47, 36.49
1221, 100, 27.39, 36.50
1225, 100, 27.32, 36.61
1229, 100, 27.24, 36.72
1232, 100, 27.32, 36.61
1236, 100, 27.62, 36.26
1240, 100, 27.17, 36.83
1243, 100, 27.02, 37.08
1247, 100, 26.73, 37.41
1251, 100, 27.24, 36.78
1255, 100, 27.10, 36.90
1258, 100, 27.32, 36.62
1262, 100, 27.24, 36.70
1266, 100, 27.39, 36.53
1269, 100, 26.88, 37.28
1273, 100, 24.15, 41.49
1277, 100, 27.10, 36.90
1281, 100, 27.24, 36.76
1285, 100, 26.73, 37.45
1288, 100, 26.59, 37.66
1292, 100, 27.32, 36.67
1296, 100, 26.88, 37.22
1299, 100, 27.17, 36.84
1303, 100, 27.32, 36.68
1307, 100, 27.10, 36.92
1310, 100, 27.17, 36.81
1314, 100, 27.62, 36.26
1318, 100, 26.88, 37.29
1321, 100, 27.77, 36.07
1325, 100, 26.95, 37.17
1329, 100, 27.32, 36.60
1332, 100, 27.32, 36.65
1336, 100, 27.10, 36.97
1340, 100, 27.32, 36.60
1344, 100, 27.10, 36.94
1347, 100, 27.10, 36.99
1351, 100, 27.17, 36.85
1355, 100, 27.17, 36.86
1358, 100, 26.66, 37.54
1362, 100, 27.70, 36.19
1366, 100, 27.47, 36.44
1369, 100, 27.10, 36.92
1373, 100, 26.52, 37.75
1377, 100, 27.10, 36.95
1381, 100, 23.31, 42.97
1385, 100, 26.45, 37.88
1389, 100, 27.17, 36.89
1392, 100, 27.17, 36.84
1396, 100, 27.10, 36.91
1400, 100, 27.70, 36.12
1403, 100, 27.24, 36.78
1407, 100, 27.17, 36.83
1411, 100, 26.66, 37.55
1415, 100, 26.24, 38.17
1418, 100, 26.59, 37.66
1422, 100, 26.66, 37.52
1426, 100, 26.88, 37.24
1430, 100, 27.10, 36.97
1433, 100, 26.95, 37.13
1437, 100, 27.10, 36.92
1441, 100, 26.52, 37.70
1444, 100, 27.47, 36.46
1448, 100, 26.66, 37.57
1452, 100, 26.95, 37.16
1456, 100, 27.54, 36.38
1459, 100, 27.32, 36.65
1463, 100, 27.24, 36.79
1467, 100, 27.24, 36.77
1470, 100, 26.59, 37.60
1474, 100, 26.52, 37.78
1478, 100, 27.47, 36.44
1482, 100, 27.10, 36.97
1485, 100, 27.47, 36.46
1489, 100, 23.75, 42.11
1493, 100, 26.45, 37.86
1497, 100, 26.88, 37.29
1501, 100, 27.02, 37.02
1504, 100, 26.80, 37.39
1508, 100, 27.77, 36.09
1512, 100, 26.80, 37.30
1515, 100, 27.62, 36.27
1519, 100, 27.17, 36.89
1523, 100, 27.10, 36.97
1526, 100, 27.32, 36.60
1530, 100, 27.24, 36.75
1534, 100, 27.10, 36.94
1537, 100, 27.10, 36.93
1541, 100, 27.32, 36.61
1545, 100, 27.47, 36.41
1549, 100, 26.66, 37.55
1552, 100, 27.24, 36.72
1556, 100, 27.24, 36.73
1560, 100, 27.24, 36.76
1563, 100, 27.24, 36.74
1567, 100, 27.54, 36.38
1571, 100, 27.32, 36.66
1574, 100, 26.80, 37.36
1578, 100, 26.80, 37.39
1582, 100, 26.95, 37.12
1586, 100, 26.59, 37.63
1589, 100, 27.24, 36.79
1593, 100, 27.17, 36.82
1597, 100, 22.67, 44.15
1601, 100, 26.17, 38.21
1605, 100, 26.88, 37.26
1609, 100, 27.32, 36.64
1612, 100, 26.73, 37.42
1616, 100, 26.95, 37.18
1620, 100, 26.73, 37.42
1624, 100, 26.88, 37.21
1627, 100, 27.39, 36.57
1631, 100, 27.02, 37.07
1635, 100, 26.88, 37.21
1638, 100, 27.24, 36.70
1642, 100, 27.47, 36.49
1646, 100, 26.88, 37.23
1649, 100, 27.24, 36.76
1653, 100, 26.45, 37.81
1657, 100, 27.17, 36.87
1661, 100, 27.24, 36.74
1664, 100, 27.02, 37.05
1668, 100, 27.47, 36.41
1672, 100, 26.52, 37.76
1675, 100, 27.24, 36.79
1679, 100, 27.47, 36.42
1683, 100, 26.95, 37.12
1686, 100, 26.73, 37.43
1690, 100, 26.88, 37.27
1694, 100, 27.17, 36.80
1698, 100, 27.32, 36.69
1701, 100, 26.73, 37.49
