time,transactions,batch_throughput_TPS,avg_tx_duration_ms
3, 100, 30.86, 32.44
7, 100, 30.76, 32.52
10, 100, 30.67, 32.65
13, 100, 30.67, 32.65
17, 100, 29.67, 33.73
20, 100, 31.54, 31.76
55, 100, 2.86, 349.07
58, 100, 30.39, 32.94
61, 100, 29.67, 33.71
65, 100, 30.30, 33.02
68, 100, 30.58, 32.72
71, 100, 30.48, 32.89
75, 100, 30.39, 32.92
78, 100, 30.48, 32.88
115, 100, 2.71, 368.81
118, 100, 30.21, 33.18
121, 100, 30.12, 33.22
125, 100, 30.12, 33.23
128, 100, 30.21, 33.19
132, 100, 26.66, 37.59
135, 100, 29.76, 33.63
175, 100, 2.53, 395.29
178, 100, 30.12, 33.23
181, 100, 30.39, 32.97
185, 100, 30.39, 32.93
188, 100, 30.30, 33.00
191, 100, 30.39, 32.97
195, 100, 30.58, 32.76
235, 100, 2.49, 401.53
238, 100, 30.39, 32.90
242, 100, 26.52, 37.74
245, 100, 30.67, 32.64
248, 100, 30.39, 32.97
252, 100, 30.21, 33.11
255, 100, 30.67, 32.63
258, 100, 30.48, 32.86
295, 100, 2.73, 365.25
298, 100, 29.76, 33.67
301, 100, 30.39, 32.91
305, 100, 30.67, 32.67
308, 100, 29.49, 33.91
311, 100, 30.39, 32.92
315, 100, 30.48, 32.82
355, 100, 2.49, 400.33
358, 100, 29.94, 33.45
361, 100, 30.76, 32.56
365, 100, 30.39, 32.90
368, 100, 30.21, 33.10
371, 100, 30.67, 32.66
375, 100, 30.21, 33.18
415, 100, 2.49, 401.21
418, 100, 29.94, 33.44
421, 100, 29.85, 33.52
425, 100, 30.39, 32.92
428, 100, 30.39, 32.92
431, 100, 29.94, 33.41
435, 100, 30.39, 32.90
438, 100, 29.58, 33.85
475, 100, 2.72, 366.95
478, 100, 30.03, 33.32
481, 100, 30.39, 32.94
485, 100, 30.39, 32.95
488, 100, 30.48, 32.82
491, 100, 30.21, 33.12
495, 100, 30.30, 33.07
535, 100, 2.49, 401.23
538, 100, 30.30, 33.01
541, 100, 29.85, 33.50
545, 100, 30.39, 32.90
548, 100, 30.03, 33.30
551, 100, 30.39, 32.95
555, 100, 31.15, 32.17
558, 100, 29.94, 33.43
595, 100, 2.71, 368.35
598, 100, 29.85, 33.50
601, 100, 30.30, 33.01
605, 100, 29.94, 33.45
608, 100, 30.48, 32.80
611, 100, 30.48, 32.83
615, 100, 30.67, 32.64
