tx_num, duration
1001,2253
1002,2255
1003,2236
1004,2248
1005,2257
1006,2252
1007,2249
1008,2250
1009,2239
1010,2239
1011,2231
1012,2241
1013,2245
1014,2272
1015,2232
1016,2243
1017,2240
1018,2252
1019,2270
1020,2242
1021,2245
1022,2234
1023,2231
1024,2245
1025,2248
1026,2273
1027,2246
1028,2238
1029,2234
1030,2260
1031,2256
1032,2257
1033,2249
1034,2235
1035,2250
1036,2247
1037,2254
1038,2255
1039,2250
1040,2239
1041,2245
1042,2239
1043,2250
1044,2246
1045,2243
1046,2248
1047,2239
1048,2247
1049,2253
1050,2240
1051,2230
1052,2239
1053,2250
1054,2226
1055,2248
1056,2242
1057,2254
1058,2242
1059,2242
1060,2253
1061,2248
1062,2237
1063,2242
1064,2255
1065,2245
1066,2243
1067,2254
1068,2230
1069,2240
1070,2252
1071,2245
1072,2243
1073,2239
1074,2233
1075,2228
1076,2249
1077,2239
1078,2257
1079,2236
1080,2248
1081,2238
1082,2245
1083,2243
1084,2252
1085,2236
1086,2248
1087,2249
1088,2293
1089,2242
1090,2242
1091,2241
1092,2241
1093,2244
1094,2241
1095,2259
1096,2252
1097,2241
1098,2234
1099,2240
1100,2247
1101,2249
1102,2290
1103,2243
1104,2239
1105,2240
1106,2234
1107,2250
1108,2233
1109,2246
1110,2247
1111,2259
1112,2241
1113,2261
1114,2249
1115,2236
1116,2247
1117,2252
1118,2246
1119,2261
1120,2254
1121,2239
1122,2251
1123,2234
1124,2250
1125,2259
1126,2242
1127,2240
1128,2265
1129,2237
1130,2250
1131,2259
1132,2232
1133,2249
1134,2237
1135,2258
1136,2237
1137,2249
1138,2246
1139,2245
1140,2249
1141,2237
1142,2244
1143,2232
1144,2246
1145,2246
1146,2241
1147,2244
1148,2244
1149,2239
1150,2253
1151,2251
1152,2245
1153,2241
1154,2252
1155,2247
1156,2263
1157,2252
1158,2253
1159,2240
1160,2251
1161,2241
1162,2251
1163,2295
1164,2257
1165,2259
1166,2241
1167,2238
1168,2269
1169,2259
1170,2244
1171,2230
1172,2245
1173,2289
1174,2253
1175,2244
1176,2235
1177,2254
1178,2242
1179,2249
1180,2249
1181,2228
1182,2258
1183,2228
1184,2254
1185,2243
1186,2261
1187,2239
1188,2242
1189,2235
1190,2281
1191,2239
1192,2265
1193,2251
1194,2243
1195,2253
1196,2240
1197,2247
1198,2264
1199,2241
1200,2234
1201,2247
1202,2244
1203,2235
1204,2258
1205,2239
1206,2244
1207,2251
1208,2265
1209,2243
1210,2263
1211,2239
1212,2251
1213,2240
1214,2247
1215,2235
1216,2237
1217,2230
1218,2237
1219,2290
1220,2254
tx_num, duration
1001000010,247
1001000011,2277
1001000012,2287
1001000013,2283
1001000014,2293
1001000015,2268
1001000016,2241
1001000017,2244
1001000018,2269
1001000019,2286
1001000020,2242
1001000021,2288
1001000022,2286
1001000023,2244
1001000024,2298
1001000025,2275
1001000026,2235
1001000027,2296
1001000028,2246
tx_num, duration
1001000010,249
1001000011,244
1001000012,250
1001000013,260
1001000014,253
1001000015,235
1001000016,254
1001000017,254
1001000018,238
1001000019,251
1001000020,254
1001000021,256
1001000022,264
1001000023,250
1001000024,247
1001000025,239
1001000026,268
1001000027,247
1001000028,255
1001000029,248
1001000030,2285
1001000031,2233
1001000032,2236
1001000033,2243
1001000034,2278
tx_num, duration
1221,251
1222,2299
1223,2283
1224,2287
1225,2237
1226,2285
1227,2285
1228,2293
1229,2288
1230,2283
1231,2235
1232,2294
1233,2280
1234,2288
1235,2294
1236,2235
1237,2278
1238,2240
1239,2239
1240,2277
1241,2284
1242,2297
1243,2252
1244,2255
1245,2280
1246,2228
1247,2281
1248,2240
1249,2236
1250,2299
1251,2293
1252,2238
1253,2278
1254,2247
1255,2249
1256,2240
1257,2237
1258,2285
1259,2236
1260,2286
1261,2284
1262,2246
1263,2243
1264,2242
1265,2241
1266,2235
1267,2267
1268,2228
1269,2250
1270,2243
1271,2307
1272,2254
1273,2242
1274,2238
1275,2235
1276,2233
1277,2283
1278,2250
1279,2247
1280,2238
1281,2273
1282,2283
1283,2296
tx_num, duration
1221,248
1222,258
1223,252
1224,247
1225,257
1226,256
1227,239
1228,247
1229,260
1230,248
1231,244
1232,238
1233,253
1234,253
1235,260
1236,253
1237,249
1238,253
1239,253
1240,243
1241,259
1242,243
1243,254
1244,253
1245,244
1246,258
1247,253
1248,251
1249,257
1250,247
1251,249
1252,251
1253,247
1254,266
1255,249
1256,240
1257,243
1258,244
1259,243
1260,253
1261,255
1262,255
1263,261
1264,247
1265,254
1266,240
1267,238
1268,235
1269,238
1270,250
1271,248
1272,248
1273,247
1274,249
1275,234
1276,241
1277,251
1278,250
1279,250
1280,252
1281,249
1282,255
1283,243
1284,251
1285,2242
1286,2245
1287,2294
1288,2295
1289,2244
1290,2288
1291,2254
1292,2287
1293,2254
1294,2289
1295,2277
1296,2243
1297,2272
1298,2294
1299,2289
1300,2292
1301,2294
1302,2299
1303,2244
1304,2284
1305,2290
1306,2278
1307,2249
1308,2286
1309,2279
1310,2288
1311,2277
1312,2270
1313,2277
1314,2272
1315,2274
1316,2278
1317,2280
1318,2277
1319,2278
1320,2266
1321,2289
1322,2251
1323,2247
1324,2291
1325,2283
1326,2275
1327,2277
1328,2280
1329,2281
1330,2269
1331,2269
1332,2258
1333,2275
1334,2279
1335,2261
1336,2272
1337,2264
1338,2275
1339,2266
1340,2267
1341,2274
1342,2270
1343,2261
1344,2272
1345,2268
1346,2278
1347,2254
1348,2275
1349,2268
1350,2266
1351,2268
1352,2275
1353,2272
1354,2274
1355,2278
1356,2284
1357,2286
1358,2266
1359,2280
1360,2266
1361,2285
1362,2274
1363,2280
1364,2281
1365,2266
1366,2280
1367,2267
1368,2280
1369,2285
1370,2268
1371,2275
1372,2272
1373,2269
1374,2280
1375,2283
1376,2270
1377,2283
1378,2270
1379,2276
1380,2281
1381,2258
1382,2263
1383,2283
1384,2271
1385,2278
1386,2295
1387,2266
1388,2277
1389,2282
1390,2312
1391,2274
1392,2250
1393,2294
1394,2321
1395,2245
1396,2259
1397,2290
1398,2290
1399,2231
1400,2286
1401,2232
1402,2228
1403,2255
1404,2238
1405,2249
1406,2276
1407,2261
1408,2245
1409,2281
1410,2290
1411,2242
1412,2293
1413,2256
1414,2289
1415,2284
1416,2278
1417,2291
1418,2250
1419,2280
1420,2280
1421,2253
1422,2239
1423,2294
1424,2284
1425,2286
1426,2253
1427,2270
1428,2263
1429,2249
1430,2245
1431,2240
1432,2227
1433,2253
1434,2241
1435,2252
1436,2253
1437,2268
1438,2263
1439,2264
1440,2268
1441,2236
1442,2256
1443,2257
1444,2239
1445,2288
1446,2283
1447,2274
1448,2268
1449,2277
1450,2248
1451,2233
1452,2255
1453,2251
1454,2247
1455,2257
1456,2254
1457,2263
1458,2255
1459,2253
1460,2250
1461,2245
1462,2268
1463,2271
1464,2255
1465,2252
1466,2245
1467,2268
1468,2243
1469,2237
1470,2261
1471,2263
1472,2241
1473,2252
1474,2246
1475,2255
1476,2278
1477,2248
1478,2250
1479,2242
1480,2244
1481,2243
1482,2294
1483,2296
1484,2278
1485,2289
1486,2263
1487,2262
1488,2262
1489,2252
1490,2250
1491,2260
1492,2250
1493,2243
1494,2261
1495,2243
1496,2245
1497,2244
1498,2244
1499,2252
1500,2253
1501,2271
1502,2248
1503,2245
1504,2236
1505,2250
1506,2249
1507,2258
1508,2248
1509,2250
1510,2244
1511,2230
1512,2248
1513,2240
1514,2235
1515,2250
1516,2254
1517,2241
1518,2249
1519,2245
1520,2249
1521,2236
1522,2247
1523,2245
1524,2245
1525,2246
1526,2243
1527,2245
1528,2240
1529,2248
1530,2274
1531,2251
1532,2238
1533,2249
1534,2233
1535,2245
1536,2238
1537,2246
1538,2251
1539,2251
1540,2254
1541,2239
1542,2235
1543,2249
1544,2245
1545,2244
1546,2232
1547,2252
1548,2275
1549,2270
1550,2238
1551,2249
1552,2237
1553,2270
1554,2255
1555,2270
1556,2241
1557,2257
1558,2244
1559,2244
1560,2251
1561,2261
1562,2262
1563,2256
1564,2248
1565,2246
1566,2244
1567,2249
1568,2264
1569,2261
1570,2246
1571,2243
1572,2242
1573,2231
1574,2251
1575,2259
1576,2288
1577,2236
1578,2302
1579,2296
1580,2241
1581,2247
1582,2251
1583,2248
1584,2258
1585,2248
1586,2244
1587,2235
1588,2243
1589,2247
1590,2251
1591,2248
1592,2249
1593,2246
1594,2246
1595,2229
1596,2244
1597,2245
1598,2244
1599,2264
1600,2250
1601,2269
1602,2251
1603,2245
1604,2263
1605,2272
1606,2245
1607,2244
1608,2285
1609,2280
1610,2223
1611,2230
1612,2257
1613,2240
1614,2241
1615,2248
1616,2260
1617,2274
1618,2279
1619,2252
1620,2235
1621,2241
1622,2244
1623,2230
1624,2244
1625,2258
1626,2243
