tx_num, duration
tx_num, duration
tx_num, duration
tx_num, duration
tx_num, duration
1,2161
2,2140
Total number of transactions = 1
average latency = 4301 ms
Total latency = 4301 ms
tx_num, duration
2,132
3,2139
4,2151
5,2182
6,2150
7,2150
8,2149
9,2151
10,2147
11,2160
Total number of transactions = 9
average latency = 2167 ms
Total latency = 19511 ms
tx_num, duration
2,130
3,129
4,127
5,129
6,130
7,127
8,125
9,131
10,130
11,126
Total number of transactions = 9
average latency = 142 ms
Total latency = 1284 ms
tx_num, duration
10,135
11,127
Total number of transactions = 2
average latency = 131 ms
Total latency = 262 ms
tx_num, duration
10,126
11,129
