batch_num,start_time,end_time,batch_duration,batch_throughput,overall_throughput,cpu_usage,memory_usage
1,1744520998.940271615,1744520999.719789261,.779517646,12.82,12.80,3.2,1366
2,1744520999.903062494,1744521000.809102559,.906040065,11.03,10.69,6.2,1385
3,1744521000.995554937,1744521001.903813519,.908258582,11.01,10.11,12.1,1322
4,1744521002.093258721,1744521003.050959926,.957701205,10.44,9.72,9.4,1323
5,1744521003.238393849,1744521004.042697721,.804303872,12.43,9.79,6.5,1388
6,1744521004.224322889,1744521005.037220034,.812897145,12.30,9.83,13.3,1379
7,1744521005.220749854,1744521006.086915075,.866165221,11.54,9.79,15.6,1374
8,1744521006.272773828,1744521007.063953590,.791179762,12.63,9.84,6.2,1330
9,1744521007.250505673,1744521008.126317860,.875812187,11.41,9.79,12.1,1334
10,1744521008.317834083,1744521009.078715590,.760881507,13.14,9.86,3.3,1325
11,1744521009.262371070,1744521010.058572996,.796201926,12.55,9.89,19.4,1318
12,1744521010.247373711,1744521011.038744263,.791370552,12.63,9.91,12.5,1354
13,1744521011.225344072,1744521011.972268878,.746924806,13.38,9.97,9.4,1367
14,1744521012.158362362,1744521012.955809778,.797447416,12.54,9.98,3.3,1334
15,1744521013.139541488,1744521013.923418832,.783877344,12.75,10.01,3.2,1310
16,1744521014.111763938,1744521014.936619555,.824855617,12.12,10.00,15.6,1339
17,1744521015.131221631,1744521015.940455200,.809233569,12.35,9.99,6.5,1370
18,1744521016.126273311,1744521016.875105418,.748832107,13.35,10.03,3.2,1321
19,1744521017.059253558,1744521018.040740838,.981487280,10.18,9.94,6.5,1343
20,1744521018.223955581,1744521018.999482036,.775526455,12.89,9.96,6.2,1364
