batch_num,start_time,end_time,batch_duration,batch_throughput,overall_throughput,cpu_usage,memory_usage
1,1744521214.485066221,1744521214.486561894,.001495673,-534876.27,-262135.05,9.4,1371
2,1744521214.669024446,1744521214.670379873,.001355427,-597597.65,-8615.62,6.7,1371
3,1744521214.853123500,1744521214.854139058,.001015558,-807437.88,-6556.42,6.5,1371
4,1744521215.034781579,1744521215.036032534,.001250955,-663493.09,-5900.21,9.4,1371
5,1744521215.217211347,1744521215.218789353,.001578006,-532317.36,-5576.11,3.3,1371
6,1744521215.401902626,1744521215.403176030,.001273404,-667502.22,-5382.38,16.1,1371
7,1744521215.582933134,1744521215.583906510,.000973376,-883522.91,-5279.91,3.2,1371
8,1744521215.764632811,1744521215.765659329,.001026518,-847525.32,-5210.00,6.2,1371
9,1744521215.950236719,1744521215.951595551,.001358832,-647615.01,-5149.56,9.1,1371
10,1744521216.136395625,1744521216.137782402,.001386777,-641775.85,-5107.98,3.3,1371
11,1744521216.322346322,1744521216.323444905,.001098583,-819237.14,-5081.70,9.7,1371
12,1744521216.508178602,1744521216.509182907,.001004305,-906099.24,-5064.98,6.2,1371
13,1744521216.692469499,1744521216.693832873,.001363374,-674796.49,-5058.08,3.3,1371
14,1744521216.876617161,1744521216.877866707,.001249546,-744270.31,-5057.72,9.4,1371
15,1744521217.058275939,1744521217.060133664,.001857725,-505995.23,-5064.76,6.5,1371
16,1744521217.244055763,1744521217.245049158,.000993395,-956316.47,-5069.63,9.7,1371
17,1744521217.428789983,1744521217.430548186,.001758203,-546012.03,-5076.28,6.5,1371
18,1744521217.615028461,1744521217.616207532,.001179071,-822681.58,-5085.07,9.1,1371
19,1744521217.800788805,1744521217.801964852,.001176047,-833300.02,-5095.74,6.2,1371
20,1744521217.985390117,1744521217.986865347,.001475230,-671081.79,-5109.38,3.3,1371
